USER:hey12
CREATED_ADD:2020/06/30 17:21:30
logIn:2020/06/30 17:34:46>>player logged in.

click_menu_button:2020/06/30 17:34:47>>panel:Mage

GoTo:2020/06/30 17:34:48>>MainMenu

ClickButton:2020/06/30 17:34:49>>collection

mana_filter:2020/06/30 17:34:52>>mana:10

click_menu_button:2020/06/30 17:34:54>>panel:Mage

click_menu_button:2020/06/30 17:34:54>>panel:Mage

click_deck_button:2020/06/30 17:34:55>>hey11

add_card_toDeck:2020/06/30 17:34:58>>Polymorph

click_menu_button:2020/06/30 17:34:58>>panel:Mage

mana_filter:2020/06/30 17:35:03>>mana:10

click_menu_button:2020/06/30 17:35:03>>panel:Neutral

logIn:2020/06/30 17:35:30>>player logged in.

click_menu_button:2020/06/30 17:35:31>>panel:Mage

GoTo:2020/06/30 17:35:32>>MainMenu

ClickButton:2020/06/30 17:35:34>>collection

click_deck_button:2020/06/30 17:35:35>>hey11

select_deck:2020/06/30 17:35:37>>hey11

click_menu_button:2020/06/30 17:35:37>>panel:Mage

change_Deck_name:2020/06/30 17:35:38>>hey11changed to hey11

build_new_deck:2020/06/30 17:35:50>>name:deev_hero:priest

click_menu_button:2020/06/30 17:35:50>>panel:Mage

mana_filter:2020/06/30 17:35:54>>mana:10

click_menu_button:2020/06/30 17:35:56>>panel:Mage

click_menu_button:2020/06/30 17:35:56>>panel:Hunter

mana_filter:2020/06/30 17:36:00>>mana:10

click_menu_button:2020/06/30 17:36:00>>panel:Priest

add_card_toDeck:2020/06/30 17:36:01>>HighPriestAmet

click_menu_button:2020/06/30 17:36:02>>panel:Priest

add_card_toDeck:2020/06/30 17:36:04>>KabalTalonpriest

click_menu_button:2020/06/30 17:36:05>>panel:Priest

add_card_toDeck:2020/06/30 17:36:06>>HighPriestAmet

click_menu_button:2020/06/30 17:36:07>>panel:Priest

add_card_toDeck:2020/06/30 17:36:07>>KabalTalonpriest

click_menu_button:2020/06/30 17:36:08>>panel:Priest

mana_filter:2020/06/30 17:36:09>>mana:10

click_menu_button:2020/06/30 17:36:09>>panel:Neutral

add_card_toDeck:2020/06/30 17:36:14>>SecurityRover

click_menu_button:2020/06/30 17:36:15>>panel:Neutral

add_card_toDeck:2020/06/30 17:36:16>>Sathrovarr

click_menu_button:2020/06/30 17:36:17>>panel:Neutral

add_card_toDeck:2020/06/30 17:36:18>>TombWarden

click_menu_button:2020/06/30 17:36:19>>panel:Neutral

add_card_toDeck:2020/06/30 17:36:21>>CurioCollector

click_menu_button:2020/06/30 17:36:22>>panel:Neutral

add_card_toDeck:2020/06/30 17:36:31>>CurioCollector

click_menu_button:2020/06/30 17:36:32>>panel:Neutral

add_card_toDeck:2020/06/30 17:36:33>>Sathrovarr

click_menu_button:2020/06/30 17:36:34>>panel:Neutral

mana_filter:2020/06/30 17:36:37>>mana:10

click_menu_button:2020/06/30 17:36:37>>panel:Priest

add_card_toDeck:2020/06/30 17:36:38>>HighPriestAmet

click_menu_button:2020/06/30 17:36:39>>panel:Priest

add_card_toDeck:2020/06/30 17:36:39>>HighPriestAmet

click_menu_button:2020/06/30 17:36:40>>panel:Priest

add_card_toDeck:2020/06/30 17:36:40>>HighPriestAmet

click_menu_button:2020/06/30 17:36:41>>panel:Priest

add_card_toDeck:2020/06/30 17:36:41>>KabalTalonpriest

click_menu_button:2020/06/30 17:36:42>>panel:Priest

add_card_toDeck:2020/06/30 17:36:42>>KabalTalonpriest

click_menu_button:2020/06/30 17:36:43>>panel:Priest

remove_card_fromDeck:2020/06/30 17:36:45>>HighPriestAmet

click_menu_button:2020/06/30 17:36:46>>panel:Priest

mana_filter:2020/06/30 17:36:49>>mana:10

click_menu_button:2020/06/30 17:36:49>>panel:Neutral

add_card_toDeck:2020/06/30 17:36:54>>SecurityRover

mana_filter:2020/06/30 17:37:01>>mana:10

GoTo:2020/06/30 17:37:01>>MainMenu

ClickButton:2020/06/30 17:37:03>>collection

mana_filter:2020/06/30 17:37:08>>mana:10

GoTo:2020/06/30 17:37:08>>MainMenu

ClickButton:2020/06/30 17:37:10>>shop

GoTo:2020/06/30 17:37:13>>MainMenu

ClickButton:2020/06/30 17:37:14>>collection

mana_filter:2020/06/30 17:37:15>>mana:10

GoTo:2020/06/30 17:37:15>>MainMenu

ClickButton:2020/06/30 17:37:16>>play

logIn:2020/06/30 17:39:29>>player logged in.

click_menu_button:2020/06/30 17:39:29>>panel:Mage

GoTo:2020/06/30 17:39:31>>MainMenu

ClickButton:2020/06/30 17:39:32>>collection

click_deck_button:2020/06/30 17:39:33>>deev

change_Deck_name:2020/06/30 17:39:37>>deevchanged to deev

build_new_deck:2020/06/30 17:39:49>>name:metalica_hero:hunter

click_menu_button:2020/06/30 17:39:49>>panel:Mage

mana_filter:2020/06/30 17:39:58>>mana:10

click_menu_button:2020/06/30 17:40:00>>panel:Mage

click_menu_button:2020/06/30 17:40:00>>panel:Hunter

add_card_toDeck:2020/06/30 17:40:02>>RockpoolHunter

logIn:2020/06/30 17:56:01>>player logged in.

click_menu_button:2020/06/30 17:56:01>>panel:Mage

GoTo:2020/06/30 17:56:03>>MainMenu

ClickButton:2020/06/30 17:56:04>>collection

click_deck_button:2020/06/30 17:56:05>>metalica

mana_filter:2020/06/30 17:56:09>>mana:10

click_menu_button:2020/06/30 17:56:12>>panel:Mage

click_menu_button:2020/06/30 17:56:12>>panel:Hunter

add_card_toDeck:2020/06/30 17:56:13>>SwampKingDred

click_menu_button:2020/06/30 17:56:14>>panel:Hunter

add_card_toDeck:2020/06/30 17:56:15>>RockpoolHunter

click_menu_button:2020/06/30 17:56:16>>panel:Hunter

add_card_toDeck:2020/06/30 17:56:16>>SwampKingDred

click_menu_button:2020/06/30 17:56:17>>panel:Hunter

add_card_toDeck:2020/06/30 17:56:18>>RockpoolHunter

click_menu_button:2020/06/30 17:56:19>>panel:Hunter

add_card_toDeck:2020/06/30 17:56:21>>SwampKingDred

click_menu_button:2020/06/30 17:56:22>>panel:Hunter

add_card_toDeck:2020/06/30 17:56:22>>RockpoolHunter

click_menu_button:2020/06/30 17:56:23>>panel:Hunter

mana_filter:2020/06/30 17:56:26>>mana:10

click_menu_button:2020/06/30 17:56:26>>panel:Neutral

add_card_toDeck:2020/06/30 17:56:28>>Sathrovarr

click_menu_button:2020/06/30 17:56:29>>panel:Neutral

add_card_toDeck:2020/06/30 17:56:30>>TombWarden

click_menu_button:2020/06/30 17:56:31>>panel:Neutral

add_card_toDeck:2020/06/30 17:56:34>>CurioCollector

click_menu_button:2020/06/30 17:56:35>>panel:Neutral

add_card_toDeck:2020/06/30 17:56:37>>SecurityRover

click_menu_button:2020/06/30 17:56:38>>panel:Neutral

add_card_toDeck:2020/06/30 17:56:41>>CurioCollector

click_menu_button:2020/06/30 17:56:42>>panel:Neutral

add_card_toDeck:2020/06/30 17:56:44>>Sathrovarr

click_menu_button:2020/06/30 17:56:44>>panel:Neutral

add_card_toDeck:2020/06/30 17:56:45>>TombWarden

click_menu_button:2020/06/30 17:56:46>>panel:Neutral

mana_filter:2020/06/30 17:56:54>>mana:10

click_menu_button:2020/06/30 17:56:54>>panel:Hunter

remove_card_fromDeck:2020/06/30 17:57:00>>Sathrovarr

click_menu_button:2020/06/30 17:57:01>>panel:Hunter

remove_card_fromDeck:2020/06/30 17:57:01>>TombWarden

click_menu_button:2020/06/30 17:57:02>>panel:Hunter

add_card_toDeck:2020/06/30 17:57:05>>SwampKingDred

click_menu_button:2020/06/30 17:57:06>>panel:Hunter

mana_filter:2020/06/30 17:57:19>>mana:10

GoTo:2020/06/30 17:57:19>>MainMenu

ClickButton:2020/06/30 17:57:20>>collection

change_Deck_name:2020/06/30 17:57:22>>metalicachanged to metalica

click_deck_button:2020/06/30 17:57:23>>metalica

logIn:2020/06/30 17:57:52>>player logged in.

click_menu_button:2020/06/30 17:57:52>>panel:Mage

logIn:2020/06/30 17:58:44>>player logged in.

click_menu_button:2020/06/30 17:58:44>>panel:Mage

GoTo:2020/06/30 17:58:45>>MainMenu

ClickButton:2020/06/30 17:58:47>>collection

click_deck_button:2020/06/30 17:58:48>>metalica

logIn:2020/06/30 18:06:20>>player logged in.

click_menu_button:2020/06/30 18:06:20>>panel:Mage

GoTo:2020/06/30 18:06:21>>MainMenu

ClickButton:2020/06/30 18:06:25>>collection

mana_filter:2020/06/30 18:06:30>>mana:10

click_menu_button:2020/06/30 18:06:33>>panel:Mage

click_menu_button:2020/06/30 18:06:33>>panel:Hunter

click_deck_button:2020/06/30 18:06:33>>metalica

add_card_toDeck:2020/06/30 18:06:35>>RockpoolHunter

click_menu_button:2020/06/30 18:06:36>>panel:Hunter

remove_card_fromDeck:2020/06/30 18:06:41>>TombWarden

click_menu_button:2020/06/30 18:06:42>>panel:Hunter

add_card_toDeck:2020/06/30 18:06:44>>SwampKingDred

click_menu_button:2020/06/30 18:06:45>>panel:Hunter

change_Deck_name:2020/06/30 18:06:50>>metalicachanged to metalica

click_deck_button:2020/06/30 18:06:55>>metalica

remove_card_fromDeck:2020/06/30 18:07:05>>CurioCollector

click_menu_button:2020/06/30 18:07:06>>panel:Hunter

add_card_toDeck:2020/06/30 18:07:07>>RockpoolHunter

click_menu_button:2020/06/30 18:07:08>>panel:Hunter

logIn:2020/06/30 18:07:51>>player logged in.

click_menu_button:2020/06/30 18:07:51>>panel:Mage

logIn:2020/06/30 18:09:58>>player logged in.

click_menu_button:2020/06/30 18:09:58>>panel:Mage

GoTo:2020/06/30 18:10:00>>MainMenu

ClickButton:2020/06/30 18:10:01>>collection

click_deck_button:2020/06/30 18:10:03>>metalica

logIn:2020/06/30 18:10:40>>player logged in.

click_menu_button:2020/06/30 18:10:40>>panel:Mage

GoTo:2020/06/30 18:10:42>>MainMenu

ClickButton:2020/06/30 18:10:43>>collection

click_deck_button:2020/06/30 18:10:45>>metalica

mana_filter:2020/06/30 18:10:51>>mana:10

click_menu_button:2020/06/30 18:10:53>>panel:Mage

click_menu_button:2020/06/30 18:10:53>>panel:Neutral

add_card_toDeck:2020/06/30 18:10:54>>Sathrovarr

click_menu_button:2020/06/30 18:10:55>>panel:Neutral

change_Deck_name:2020/06/30 18:10:59>>metalicachanged to null

mana_filter:2020/06/30 18:11:02>>mana:10

GoTo:2020/06/30 18:11:02>>MainMenu

ClickButton:2020/06/30 18:11:05>>collection

change_Deck_name:2020/06/30 18:11:07>>nullchanged to null

click_deck_button:2020/06/30 18:11:08>>null

logIn:2020/06/30 18:16:24>>player logged in.

logIn:2020/06/30 18:17:01>>player logged in.

logIn:2020/06/30 18:17:58>>player logged in.

logIn:2020/06/30 18:18:55>>player logged in.

click_menu_button:2020/06/30 18:18:55>>panel:Mage

GoTo:2020/06/30 18:18:57>>MainMenu

ClickButton:2020/06/30 18:18:58>>collection

logIn:2020/06/30 18:20:56>>player logged in.

click_menu_button:2020/06/30 18:20:56>>panel:Mage

GoTo:2020/06/30 18:20:57>>MainMenu

ClickButton:2020/06/30 18:21:00>>collection

click_deck_button:2020/06/30 18:21:02>>deev

change_Deck_name:2020/06/30 18:21:07>>deevchanged to dv2

logIn:2020/06/30 18:23:05>>player logged in.

logIn:2020/06/30 18:25:20>>player logged in.

click_menu_button:2020/06/30 18:25:21>>panel:Mage

GoTo:2020/06/30 18:25:22>>MainMenu

ClickButton:2020/06/30 18:25:24>>collection

click_deck_button:2020/06/30 18:25:25>>dv2

change_Deck_name:2020/06/30 18:25:31>>dv2changed to deev3

click_menu_button:2020/06/30 18:25:31>>panel:Mage

click_menu_button:2020/06/30 18:25:31>>panel:Mage

logIn:2020/07/02 19:45:47>>player logged in.

click_menu_button:2020/07/02 19:45:48>>panel:Mage

GoTo:2020/07/02 19:45:52>>MainMenu

ClickButton:2020/07/02 19:45:54>>collection

mana_filter:2020/07/02 19:45:57>>mana:10

click_menu_button:2020/07/02 19:45:59>>panel:Mage

click_menu_button:2020/07/02 19:45:59>>panel:Mage

mana_filter:2020/07/02 19:46:02>>mana:10

click_menu_button:2020/07/02 19:46:02>>panel:Neutral

mana_filter:2020/07/02 19:46:04>>mana:10

click_menu_button:2020/07/02 19:46:04>>panel:Rogue

mana_filter:2020/07/02 19:46:06>>mana:10

click_menu_button:2020/07/02 19:46:06>>panel:Hunter

mana_filter:2020/07/02 19:46:08>>mana:10

click_menu_button:2020/07/02 19:46:08>>panel:Priest

logIn:2020/07/02 19:49:37>>player logged in.

click_menu_button:2020/07/02 19:49:37>>panel:Mage

GoTo:2020/07/02 19:49:39>>MainMenu

ClickButton:2020/07/02 19:49:41>>collection

click_deck_button:2020/07/02 19:49:42>>hey11

select_deck:2020/07/02 19:49:45>>hey11

click_menu_button:2020/07/02 19:49:45>>panel:Mage

mana_filter:2020/07/02 19:49:47>>mana:10

click_menu_button:2020/07/02 19:49:50>>panel:Mage

GoTo:2020/07/02 19:49:50>>MainMenu

ClickButton:2020/07/02 19:49:51>>play

logIn:2020/07/02 19:52:39>>player logged in.

click_menu_button:2020/07/02 19:52:39>>panel:Mage

GoTo:2020/07/02 19:52:40>>MainMenu

ClickButton:2020/07/02 19:52:42>>collection

click_deck_button:2020/07/02 19:52:43>>hey11

select_deck:2020/07/02 19:52:47>>hey11

click_menu_button:2020/07/02 19:52:47>>panel:Mage

mana_filter:2020/07/02 19:52:49>>mana:10

click_menu_button:2020/07/02 19:52:51>>panel:Mage

GoTo:2020/07/02 19:52:51>>MainMenu

ClickButton:2020/07/02 19:52:52>>play

logIn:2020/07/02 19:54:21>>player logged in.

click_menu_button:2020/07/02 19:54:21>>panel:Mage

GoTo:2020/07/02 19:54:23>>MainMenu

ClickButton:2020/07/02 19:54:24>>play

GoTo:2020/07/02 19:54:27>>MainMenu

ClickButton:2020/07/02 19:54:29>>play

logIn:2020/07/02 19:54:53>>player logged in.

click_menu_button:2020/07/02 19:54:54>>panel:Mage

GoTo:2020/07/02 19:54:55>>MainMenu

ClickButton:2020/07/02 19:54:56>>play

logIn:2020/07/02 19:55:23>>player logged in.

click_menu_button:2020/07/02 19:55:23>>panel:Mage

GoTo:2020/07/02 19:55:25>>MainMenu

ClickButton:2020/07/02 19:55:26>>play

logIn:2020/07/02 19:56:33>>player logged in.

click_menu_button:2020/07/02 19:56:34>>panel:Mage

GoTo:2020/07/02 19:56:35>>MainMenu

ClickButton:2020/07/02 19:56:36>>play

logIn:2020/07/02 19:57:08>>player logged in.

click_menu_button:2020/07/02 19:57:09>>panel:Mage

GoTo:2020/07/02 19:57:10>>MainMenu

ClickButton:2020/07/02 19:57:11>>play

logIn:2020/07/02 19:57:40>>player logged in.

click_menu_button:2020/07/02 19:57:40>>panel:Mage

GoTo:2020/07/02 19:57:42>>MainMenu

ClickButton:2020/07/02 19:57:42>>play

logIn:2020/07/02 19:58:12>>player logged in.

click_menu_button:2020/07/02 19:58:12>>panel:Mage

GoTo:2020/07/02 19:58:13>>MainMenu

ClickButton:2020/07/02 19:58:15>>play

logIn:2020/07/02 20:04:15>>player logged in.

click_menu_button:2020/07/02 20:04:15>>panel:Mage

GoTo:2020/07/02 20:04:16>>MainMenu

ClickButton:2020/07/02 20:04:18>>play

GoTo:2020/07/02 20:04:30>>MainMenu

ClickButton:2020/07/02 20:04:34>>play

logIn:2020/07/02 20:06:39>>player logged in.

click_menu_button:2020/07/02 20:06:40>>panel:Mage

GoTo:2020/07/02 20:06:41>>MainMenu

ClickButton:2020/07/02 20:06:43>>play

logIn:2020/07/02 20:07:49>>player logged in.

click_menu_button:2020/07/02 20:07:50>>panel:Mage

GoTo:2020/07/02 20:07:51>>MainMenu

ClickButton:2020/07/02 20:07:52>>play

logIn:2020/07/02 20:09:51>>player logged in.

click_menu_button:2020/07/02 20:09:51>>panel:Mage

GoTo:2020/07/02 20:09:53>>MainMenu

ClickButton:2020/07/02 20:09:54>>play

logIn:2020/07/02 20:11:42>>player logged in.

click_menu_button:2020/07/02 20:11:42>>panel:Mage

GoTo:2020/07/02 20:11:44>>MainMenu

ClickButton:2020/07/02 20:11:45>>play

logIn:2020/07/02 20:15:05>>player logged in.

click_menu_button:2020/07/02 20:15:05>>panel:Mage

GoTo:2020/07/02 20:15:07>>MainMenu

ClickButton:2020/07/02 20:15:07>>play

logIn:2020/07/02 20:15:25>>player logged in.

click_menu_button:2020/07/02 20:15:26>>panel:Mage

GoTo:2020/07/02 20:15:27>>MainMenu

ClickButton:2020/07/02 20:15:28>>play

logIn:2020/07/02 20:15:46>>player logged in.

click_menu_button:2020/07/02 20:15:46>>panel:Mage

GoTo:2020/07/02 20:15:48>>MainMenu

ClickButton:2020/07/02 20:15:49>>play

logIn:2020/07/02 20:16:03>>player logged in.

click_menu_button:2020/07/02 20:16:04>>panel:Mage

GoTo:2020/07/02 20:16:05>>MainMenu

ClickButton:2020/07/02 20:16:06>>play

logIn:2020/07/02 20:16:23>>player logged in.

click_menu_button:2020/07/02 20:16:23>>panel:Mage

GoTo:2020/07/02 20:16:25>>MainMenu

ClickButton:2020/07/02 20:16:26>>play

logIn:2020/07/02 20:16:39>>player logged in.

click_menu_button:2020/07/02 20:16:39>>panel:Mage

GoTo:2020/07/02 20:16:41>>MainMenu

ClickButton:2020/07/02 20:16:42>>play

logIn:2020/07/02 20:16:55>>player logged in.

click_menu_button:2020/07/02 20:16:55>>panel:Mage

GoTo:2020/07/02 20:16:57>>MainMenu

ClickButton:2020/07/02 20:16:58>>play

logIn:2020/07/02 20:17:21>>player logged in.

click_menu_button:2020/07/02 20:17:21>>panel:Mage

GoTo:2020/07/02 20:17:23>>MainMenu

ClickButton:2020/07/02 20:17:24>>play

logIn:2020/07/02 20:17:48>>player logged in.

click_menu_button:2020/07/02 20:17:48>>panel:Mage

GoTo:2020/07/02 20:17:49>>MainMenu

ClickButton:2020/07/02 20:17:51>>play

logIn:2020/07/02 20:18:16>>player logged in.

click_menu_button:2020/07/02 20:18:16>>panel:Mage

GoTo:2020/07/02 20:18:18>>MainMenu

ClickButton:2020/07/02 20:18:19>>play

logIn:2020/07/02 20:19:36>>player logged in.

click_menu_button:2020/07/02 20:19:36>>panel:Mage

GoTo:2020/07/02 20:19:38>>MainMenu

ClickButton:2020/07/02 20:19:39>>play

logIn:2020/07/02 20:20:27>>player logged in.

click_menu_button:2020/07/02 20:20:27>>panel:Mage

GoTo:2020/07/02 20:20:29>>MainMenu

ClickButton:2020/07/02 20:20:30>>play

logIn:2020/07/02 20:21:31>>player logged in.

click_menu_button:2020/07/02 20:21:32>>panel:Mage

GoTo:2020/07/02 20:21:33>>MainMenu

ClickButton:2020/07/02 20:21:34>>play

logIn:2020/07/02 20:22:15>>player logged in.

click_menu_button:2020/07/02 20:22:15>>panel:Mage

GoTo:2020/07/02 20:22:16>>MainMenu

ClickButton:2020/07/02 20:22:18>>play

logIn:2020/07/02 20:23:02>>player logged in.

click_menu_button:2020/07/02 20:23:03>>panel:Mage

GoTo:2020/07/02 20:23:04>>MainMenu

ClickButton:2020/07/02 20:23:06>>play

GoTo:2020/07/02 20:23:29>>MainMenu

ClickButton:2020/07/02 20:23:36>>shop

logIn:2020/07/03 12:17:04>>player logged in.

logIn:2020/07/03 12:17:45>>player logged in.

click_menu_button:2020/07/03 12:17:46>>panel:Mage

GoTo:2020/07/03 12:17:47>>MainMenu

ClickButton:2020/07/03 12:17:49>>play

GoTo:2020/07/03 12:17:51>>MainMenu

ClickButton:2020/07/03 12:17:53>>collection

click_deck_button:2020/07/03 12:17:54>>hey11

select_deck:2020/07/03 12:17:55>>hey11

click_menu_button:2020/07/03 12:17:55>>panel:Mage

mana_filter:2020/07/03 12:17:57>>mana:10

click_menu_button:2020/07/03 12:17:59>>panel:Mage

GoTo:2020/07/03 12:17:59>>MainMenu

ClickButton:2020/07/03 12:18:00>>play

GoTo:2020/07/03 12:18:09>>MainMenu

logIn:2020/07/03 12:42:12>>player logged in.

logIn:2020/07/03 12:43:45>>player logged in.

click_menu_button:2020/07/03 12:43:46>>panel:Mage

GoTo:2020/07/03 12:43:47>>MainMenu

ClickButton:2020/07/03 12:43:48>>collection

click_deck_button:2020/07/03 12:43:50>>hey11

select_deck:2020/07/03 12:43:52>>hey11

click_menu_button:2020/07/03 12:43:52>>panel:Mage

mana_filter:2020/07/03 12:43:53>>mana:10

click_menu_button:2020/07/03 12:43:55>>panel:Mage

GoTo:2020/07/03 12:43:55>>MainMenu

ClickButton:2020/07/03 12:43:56>>play

GoTo:2020/07/03 12:43:58>>MainMenu

ClickButton:2020/07/03 12:43:59>>play

logIn:2020/07/03 12:45:04>>player logged in.

click_menu_button:2020/07/03 12:45:04>>panel:Mage

GoTo:2020/07/03 12:45:05>>MainMenu

ClickButton:2020/07/03 12:45:07>>collection

click_deck_button:2020/07/03 12:45:08>>hey11

select_deck:2020/07/03 12:45:09>>hey11

click_menu_button:2020/07/03 12:45:09>>panel:Mage

mana_filter:2020/07/03 12:45:10>>mana:10

click_menu_button:2020/07/03 12:45:13>>panel:Mage

GoTo:2020/07/03 12:45:13>>MainMenu

ClickButton:2020/07/03 12:45:13>>play

logIn:2020/07/03 12:46:45>>player logged in.

click_menu_button:2020/07/03 12:46:45>>panel:Mage

GoTo:2020/07/03 12:46:46>>MainMenu

ClickButton:2020/07/03 12:46:49>>collection

click_deck_button:2020/07/03 12:46:50>>hey11

select_deck:2020/07/03 12:46:52>>hey11

click_menu_button:2020/07/03 12:46:52>>panel:Mage

mana_filter:2020/07/03 12:46:53>>mana:10

click_menu_button:2020/07/03 12:46:55>>panel:Mage

GoTo:2020/07/03 12:46:55>>MainMenu

ClickButton:2020/07/03 12:46:56>>play

logIn:2020/07/03 12:50:10>>player logged in.

click_menu_button:2020/07/03 12:50:10>>panel:Mage

GoTo:2020/07/03 12:50:11>>MainMenu

ClickButton:2020/07/03 12:50:13>>collection

click_deck_button:2020/07/03 12:50:14>>hey11

select_deck:2020/07/03 12:50:16>>hey11

click_menu_button:2020/07/03 12:50:16>>panel:Mage

mana_filter:2020/07/03 12:50:17>>mana:10

click_menu_button:2020/07/03 12:50:19>>panel:Mage

GoTo:2020/07/03 12:50:19>>MainMenu

ClickButton:2020/07/03 12:50:20>>play

logIn:2020/07/03 12:54:11>>player logged in.

